Sample in Buffer,Sample in Window,TRIGGER,design_1_i/sensor_ss/sensor_ila/inst/probe0_1[3:0],design_1_i/sensor_ss/sensor_ila/inst/probe1_1[3:0],design_1_i/sensor_ss/sensor_ila/inst/probe2_1[11:0],design_1_i/sensor_ss/sensor_ila/inst/probe3_1[11:0],design_1_i/sensor_ss/sensor_ila/inst/probe4_1[9:0],design_1_i/sensor_ss/sensor_ila/inst/probe5_1,design_1_i/sensor_ss/sensor_ila/inst/probe6_1[31:0],design_1_i/sensor_ss/sensor_ila/inst/probe7_1,design_1_i/sensor_ss/sensor_ila/inst/net_slot_0_axis_tdata[31:0],design_1_i/sensor_ss/sensor_ila/inst/net_slot_0_axis_tvalid,design_1_i/sensor_ss/sensor_ila/inst/net_slot_0_axis_tready,design_1_i/sensor_ss/sensor_ila/inst/net_slot_0_axis_tlast,Interface_(i2:s0)_(sensor_data_acquisition_data)[2:0],T_Channel_(i2:s0)_(sensor_data_acquisition_data)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,HEX,HEX,HEX,HEX,HEX
0,0,0,4,3,728,728,911,1,00008001,1,0,0,0,0,"Inactive","No Streams"
1,1,0,4,3,721,721,912,1,00008001,1,0,0,0,0,"Inactive","No Streams"
2,2,0,4,3,725,725,913,1,00008001,1,0,0,0,0,"Inactive","No Streams"
3,3,0,4,3,720,720,914,1,00008001,1,0,0,0,0,"Inactive","No Streams"
4,4,0,4,3,726,726,915,1,00008001,1,0,0,0,0,"Inactive","No Streams"
5,5,0,4,3,718,718,916,1,00008001,1,0,0,0,0,"Inactive","No Streams"
6,6,0,4,3,717,717,917,1,00008001,1,0,0,0,0,"Inactive","No Streams"
7,7,0,4,3,716,716,918,1,00008001,1,0,0,0,0,"Inactive","No Streams"
8,8,0,4,3,722,722,919,1,00008001,1,0,0,0,0,"Inactive","No Streams"
9,9,0,4,3,729,729,920,1,00008001,1,0,0,0,0,"Inactive","No Streams"
10,10,0,4,3,721,721,921,1,00008001,1,0,0,0,0,"Inactive","No Streams"
11,11,0,4,3,728,728,922,1,00008001,1,0,0,0,0,"Inactive","No Streams"
12,12,0,4,3,721,721,923,1,00008001,1,0,0,0,0,"Inactive","No Streams"
13,13,0,4,3,724,724,924,1,00008001,1,0,0,0,0,"Inactive","No Streams"
14,14,0,4,3,719,719,925,1,00008001,1,0,0,0,0,"Inactive","No Streams"
15,15,0,4,3,719,719,926,1,00008001,1,0,0,0,0,"Inactive","No Streams"
16,16,0,4,3,718,718,927,1,00008001,1,0,0,0,0,"Inactive","No Streams"
17,17,0,4,3,735,735,928,1,00008001,1,0,0,0,0,"Inactive","No Streams"
18,18,0,4,3,710,710,929,1,00008001,1,0,0,0,0,"Inactive","No Streams"
19,19,0,4,3,741,741,930,1,00008001,1,0,0,0,0,"Inactive","No Streams"
20,20,0,4,3,710,710,931,1,00008001,1,0,0,0,0,"Inactive","No Streams"
21,21,0,4,3,729,729,932,1,00008001,1,0,0,0,0,"Inactive","No Streams"
22,22,0,4,3,727,727,933,1,00008001,1,0,0,0,0,"Inactive","No Streams"
23,23,0,4,3,732,732,934,1,00008001,1,0,0,0,0,"Inactive","No Streams"
24,24,0,4,3,727,727,935,1,00008001,1,0,0,0,0,"Inactive","No Streams"
25,25,0,4,3,715,715,936,1,00008001,1,0,0,0,0,"Inactive","No Streams"
26,26,0,4,3,714,714,937,1,00008001,1,0,0,0,0,"Inactive","No Streams"
27,27,0,4,3,723,723,938,1,00008001,1,0,0,0,0,"Inactive","No Streams"
28,28,0,4,3,732,732,939,1,00008001,1,0,0,0,0,"Inactive","No Streams"
29,29,0,4,3,725,725,940,1,00008001,1,0,0,0,0,"Inactive","No Streams"
30,30,0,4,3,716,716,941,1,00008001,1,0,0,0,0,"Inactive","No Streams"
